question,answer
Apa saja persyaratan daftar towing master kerjasama,"persyaratan daftar towing master kerjasama:
1. Akte Lahir / Surat Kenal Lahir - Scan Asli *
2. Pas photo Terbaru Ukuran 3x4 (Background warna sesuai jurusan Biru = Nautika, Merah = Teknika/Diklat Fungsional, Hitam Putih = Diktram) Format jpg/jpeg/png *
3. Sertifikat Kesehatan Pelaut (MCU) dari Rumah Sakit atau Lembaga Kesehatan yang mendapat pengakuan dari dokter yang ditunjuk Ditjen Hubla - Scan Asli
4. Sertifikat Minimal ANT-V / Surat Keterangan (apabila sertifikat ANT-V masih dalam proses) / Surat Keterangan Turun Prala (bagi Taruna Pasca Prala) - Scan Asli *
5. Surat Pernyataan Peserta Diklat *"
,
Apa saja persyaratan daftar PEMUTAKHIRAN NAUTIKA (ANT) III MANAGEMENT,"Persyaratan Daftar Pemutakhiran ANT III Management

1. Akte Lahir / Surat Kenal Lahir - Scan Asli
2. KTP / Identitas Lainnya yg berlaku - Scan Asli *
3. Pas photo Terbaru Ukuran 3x4 (Background warna sesuai jurusan Biru = Nautika, Merah = Teknika/Diklat Fungsional, Hitam Putih = Diktram) Format jpg/jpeg/png
4. Printout Seafarer Code
5. STTPK DP III/Ijazah Diploma-4/Ijazah Diploma 3/STTPK Crash Program/Fast Track - Scan Asli *
6. Sertifikat AFF - Scan Asli
7. Sertifikat ANT III (Ijazah COC + COE Endors) - Scan Asli *
8. Sertifikat Arpa Simulator (AS) - Scan Asli
9. Sertifikat BRM - Scan Asli
10. Sertifikat BST MSC.560 - Scan Asli *
11. Sertifikat ECDIS - Scan Asli
12. Sertifikat GMDSS - Scan Asli
13. Sertifikat Kesehatan/Medical Check Up (MCU) yg masih berlaku dari Rumah Sakit/Klinik yg ditunjuk/diapprove Ditkapel & dinyatakan sehat - (Diklat Peningkatan, Diklat Pemutakhiran dan GMDSS) Scan Asli
14. Sertifikat Medical Care (MC) - Scan Asli
15. Sertifikat Medical First Aid (MFA) - Scan Asli
16. Sertifikat PSCRB - Scan Asli
17. Sertifikat SAT - Scan Asli
18. Sertifikat SSO - Scan Asli
19. Surat Masa Layar dari Syahbandar + PNBP minimal 12 (dua belas) bulan pada ukuran kapal minimal 500 GT - Scan Asli (Terbitan 6 Bulan Terakhir) *
20. Surat Pernyataan Peserta Diklat *"
Apa saja persyaratan daftar PEMUTAKHIRAN NAUTIKA (ANT) IV MANAGEMENT,"Persyaratan Daftar  Pemutakhiran ANT IV Management

1. Akte Lahir / Surat Kenal Lahir - Scan Asli
2. KTP / Identitas Lainnya yg berlaku - Scan Asli *
3. Pas photo Terbaru Ukuran 3x4 (Background warna sesuai jurusan Biru = Nautika, Merah = Teknika/Diklat Fungsional, Hitam Putih = Diktram) Format jpg/jpeg/png
4. Printout Seafarer Code
5. STTPK DP-IV/Ijazah DTPN-I/SMK Pelayaran - Scan Asli *
6. Sertifikat AFF - Scan Asli
7. Sertifikat ANT IV (Ijazah COC + COE Endors) - Scan Asli *
8. Sertifikat Arpa Simulator (AS) - Scan Asli
9. Sertifikat BRM - Scan Asli
10. Sertifikat BST MSC.560 - Scan Asli *
11. Sertifikat Kesehatan/Medical Check Up (MCU) yg masih berlaku dari Rumah Sakit/Klinik yg ditunjuk/diapprove Ditkapel & dinyatakan sehat - (Diklat Peningkatan, Diklat Pemutakhiran dan GMDSS) Scan Asli
12. Sertifikat Medical Care (MC) - Scan Asli
13. Sertifikat Medical First Aid (MFA) - Scan Asli
14. Sertifikat PSCRB - Scan Asli
15. Sertifikat Radar Simulator (RS) - Scan Asli
16. Sertifikat SAT - Scan Asli
17. Sertifikat SSO - Scan Asli
18. Surat Masa Layar dari Syahbandar + PNBP minimal 12 (dua belas) bulan pada ukuran kapal tidak kurang dari 500 GT - Scan Asli (Terbitan 6 Bulan Terakhir)
19. Surat Pernyataan Peserta Diklat *"
Apa saja persyaratan daftar PEMUTAKHIRAN NAUTIKA (ANT) V MANAGEMENT,"Persyaratan Daftar Pemutakhiran ANT V Management

1. Akte Lahir / Surat Kenal Lahir - Scan Asli
2. KTP / Identitas Lainnya yg berlaku - Scan Asli *
3. Pas photo Terbaru Ukuran 3x4 (Background warna sesuai jurusan Biru = Nautika, Merah = Teknika/Diklat Fungsional, Hitam Putih = Diktram) Format jpg/jpeg/png
4. Printout Seafarer Code
5. STTPK DP-V - Scan Asli *
6. Sertifikat AFF - Scan Asli
7. Sertifikat ANT V (Ijazah COC + COE Endors) - Scan Asli *
8. Sertifikat Arpa Simulator (AS) - Scan Asli
9. Sertifikat BRM - Scan Asli
10. Sertifikat BST MSC.560 - Scan Asli *
11. Sertifikat Kesehatan/Medical Check Up (MCU) yg masih berlaku dari Rumah Sakit/Klinik yg ditunjuk/diapprove Ditkapel & dinyatakan sehat - (Diklat Peningkatan, Diklat Pemutakhiran dan GMDSS) Scan Asli
12. Sertifikat Medical Care (MC) - Scan Asli
13. Sertifikat Medical First Aid (MFA) - Scan Asli
14. Sertifikat PSCRB - Scan Asli
15. Sertifikat SAT - Scan Asli
16. Sertifikat SSO - Scan Asli
17. Surat Masa Layar dari Syahbandar + PNBP minimal 12 (dua belas) bulan pada ukuran kapal tidak kurang dari 500 GT - Scan Asli (Terbitan 6 Bulan Terakhir)
18. Surat Pernyataan Peserta Diklat *"
Apa saja persyaratan daftar PEMUTAKHIRAN TEKNIKA (ATT) III MANAGEMENT,"Persyaratan Daftar  Pemutakhiran ATT III Management

1. Akte Lahir / Surat Kenal Lahir - Scan Asli
2. Ijasah COC & COE (Endors) ATT III - Scan Asli *
3. KTP / Identitas Lainnya yg berlaku - Scan Asli *
4. Pas photo Terbaru Ukuran 3x4 (Background warna sesuai jurusan Biru = Nautika, Merah = Teknika/Diklat Fungsional, Hitam Putih = Diktram) Format jpg/jpeg/png
5. Printout Seafarer Code
6. STTPK DP III/Ijazah Diploma-4/Ijazah Diploma 3/STTPK Crash Program/Fast Track - Scan Asli *
7. Sertifikat AFF - Scan Asli
8. Sertifikat BST MSC.560 - Scan Asli *
9. Sertifikat ERM - Scan Asli
10. Sertifikat Kesehatan/Medical Check Up (MCU) yg masih berlaku dari Rumah Sakit/Klinik yg ditunjuk/diapprove Ditkapel & dinyatakan sehat - (Diklat Peningkatan, Diklat Pemutakhiran dan GMDSS) Scan Asli
11. Sertifikat Medical Care (MC) - Scan Asli
12. Sertifikat Medical First Aid (MFA) - Scan Asli
13. Sertifikat PSCRB - Scan Asli
14. Sertifikat SAT - Scan Asli
15. Sertifikat SSO - Scan Asli
16. Surat Masa Layar dari Syahbandar + PNBP minimal 12 (dua belas) dengan MPU minimal 750 Kw - Scan Asli (Terbitan 6 Bulan Terakhir) *
17. Surat Pernyataan Peserta Diklat *"
Apa saja persyaratan daftar PEMUTAKHIRAN TEKNIKA (ATT) IV MANAGEMENT,"Persyaratan Daftar  Pemutakhiran ATT IV Management

1. Akte Lahir / Surat Kenal Lahir - Scan Asli
2. Ijasah COC & COE (Endors) ATT IV - Scan Asli *
3. KTP / Identitas Lainnya yg berlaku - Scan Asli *
4. Pas photo Terbaru Ukuran 3x4 (Background warna sesuai jurusan Biru = Nautika, Merah = Teknika/Diklat Fungsional, Hitam Putih = Diktram) Format jpg/jpeg/png
5. Printout Seafarer Code
6. STTPK DP-IV/Ijazah DTPN-I/SMK Pelayaran - Scan Asli *
7. Sertifikat AFF - Scan Asli
8. Sertifikat BST MSC.560 - Scan Asli *
9. Sertifikat ERM - Scan Asli
10. Sertifikat Kesehatan/Medical Check Up (MCU) yg masih berlaku dari Rumah Sakit/Klinik yg ditunjuk/diapprove Ditkapel & dinyatakan sehat - (Diklat Peningkatan, Diklat Pemutakhiran dan GMDSS) Scan Asli
11. Sertifikat Medical Care (MC) - Scan Asli
12. Sertifikat Medical First Aid (MFA) - Scan Asli
13. Sertifikat PSCRB - Scan Asli
14. Sertifikat SAT - Scan Asli
15. Sertifikat SSO - Scan Asli
16. Surat Masa Layar dari Syahbandar + PNBP minimal 12 (dua belas) bulan dengan MPU kurang dari 750 KW - Scan Asli (Terbitan 6 Bulan Terakhir)
17. Surat Pernyataan Peserta Diklat *"
Apa saja persyaratan daftar PEMUTAKHIRAN TEKNIKA (ATT) V MANAGEMENT,"Persyaratan Daftar  Pemutakhiran ATT V Management

1. Akte Lahir / Surat Kenal Lahir - Scan Asli
2. Ijasah COC & COE (Endors) ATT V - Scan Asli *
3. KTP / Identitas Lainnya yg berlaku - Scan Asli *
4. Pas photo Terbaru Ukuran 3x4 (Background warna sesuai jurusan Biru = Nautika, Merah = Teknika/Diklat Fungsional, Hitam Putih = Diktram) Format jpg/jpeg/png
5. Printout Seafarer Code
6. STTPK DP-V - Scan Asli *
7. Sertifikat AFF - Scan Asli
8. Sertifikat BST MSC.560 - Scan Asli *
9. Sertifikat ERM - Scan Asli
10. Sertifikat Kesehatan/Medical Check Up (MCU) yg masih berlaku dari Rumah Sakit/Klinik yg ditunjuk/diapprove Ditkapel & dinyatakan sehat - (Diklat Peningkatan, Diklat Pemutakhiran dan GMDSS) Scan Asli
11. Sertifikat Medical Care (MC) - Scan Asli
12. Sertifikat Medical First Aid (MFA) - Scan Asli
13. Sertifikat PSCRB - Scan Asli
14. Sertifikat SAT - Scan Asli
15. Sertifikat SSO - Scan Asli
16. Surat Masa Layar dari Syahbandar + PNBP minimal 12 (dua belas) bulan dengan MPU kurang dari 750 KW - Scan Asli (Terbitan 6 Bulan Terakhir)
17. Surat Pernyataan Peserta Diklat *"
Apa saja persyaratan daftar PENINGKATAN DP IV NAUTIKA (ANT DP IV) ,"Persyaratan daftar PENINGKATAN DP IV NAUTIKA (ANT DP IV) meliputi: *

1. Akte Lahir / Surat Kenal Lahir - Scan Asli *
2. Ijasah COC & COE (Endors) ANT V (Operasional min. 30 bulan/manajemen min. 12 bulan) / Surat Keterangan Lulus (SKL) UKP PRAPRALA *
3. KTP / Identitas Lainnya yg berlaku - Scan Asli *
4. Pas photo Terbaru Ukuran 3x4 (Background warna sesuai jurusan Biru = Nautika, Merah = Teknika/Diklat Fungsional, Hitam Putih = Diktram) Format jpg/jpeg/png *
5. SPPK DP-V Pemuktahiran STCW 2010 / SPPK Peningkatan DP-V STCW 2010 - Scan Asli *
6. Sertifikat AFF - Scan Asli *
7. Sertifikat BST MSC.560 - Scan Asli *
8. Sertifikat GMDSS - Scan Asli *
9. Sertifikat Kesehatan / Medical Check Up (MCU) yg masih berlaku dari Rumah Sakit/Klinik yg ditunjuk/diapprove Ditkapel & dinyatakan sehat - (Diklat Peningkatan, Diklat Pemutakhiran dan GMDSS) Scan Asli *
10. Sertifikat Medical First Aid (MFA) - Scan Asli *
11. Sertifikat PSCRB - Scan Asli *
12. Sertifikat Radar Simulator (RS) - Scan Asli *
13. Sertifikat SAT - Scan Asli *
14. Surat Masa Layar dari Syahbandar + PNBP setelah memiliki ANT-V STCW 2010 paling sedikit 30 (tiga puluh) bulan / Surat Masa Layar dari Syahbandar setelah memiliki ANT-V Manajemen STCW 2010 paling sedikit 12 (dua belas) bulan - Scan Asli (Terbitan 6 Bulan Terakhir) / Surat Keterangan Masa Layar Selama 12 Bulan Sebagai Cadet (Khusus Downgrade) *
15. Surat Pernyataan Peserta Diklat *"
Apa saja persyaratan daftar PENINGKATAN DP II NAUTIKA (ANT DP II,"Persyaratan daftar PENINGKATAN DP II NAUTIKA (ANT DP II) meliputi: *

1. Akte Lahir / Surat Kenal Lahir - Scan Asli *
2. Kartu Keluarga (KK) - Scan Asli *
3. Kartu Tanda Penduduk (KTP) - Scan Asli *
4. Memiliki ijazah akademik minimal Diploma III Pelayaran atau Serumpun *
5. Pas photo Terbaru Ukuran 3x4 (Background warna sesuai jurusan Biru = Nautika, Merah = Teknika/Diklat Fungsional, Hitam Putih = Diktram) Format jpg/jpeg/png *
6. Scan COC & COE GMDSS *
7. Sertifikat AFF - Scan Asli *
8. Sertifikat ANT III (Ijazah COC + COE Endors) - Scan Asli *
9. Sertifikat Arpa Simulator (AS) - Scan Asli *
10. Sertifikat BRM - Scan Asli *
11. Sertifikat BST MSC.560 - Scan Asli *
12. Sertifikat Kesehatan Pelaut (MCU) dari Rumah Sakit atau Lembaga Kesehatan yang mendapat pengakuan dari dokter yang ditunjuk Ditjen Hubla - Scan Asli *
13. Sertifikat Medical Care (MC) - Scan Asli *
14. Sertifikat Medical First Aid (MFA) - Scan Asli *
15. Sertifikat PSCRB - Scan Asli *
16. Sertifikat Radar Simulator (RS) - Scan Asli *
17. Sertifikat SSO - Scan Asli *
18. Surat Keputusan (SK) CPNS *
19. Surat Keputusan (SK) PNS *
20. Surat Pernyataan Peserta Diklat *"
Apa saja persyaratan daftar PENINGKATAN DP II TEKNIKA (ATT DP II),"Persyaratan daftar PENINGKATAN DP II TEKNIKA (ATT DP II) meliputi: *

1. Akte Lahir / Surat Kenal Lahir - Scan Asli *
2. Ijasah COC & COE (Endors) ATT III - Scan Asli *
3. Kartu Keluarga (KK) - Scan Asli *
4. Kartu Tanda Penduduk (KTP) - Scan Asli *
5. Memiliki ijazah akademik minimal Diploma III Pelayaran atau Serumpun *
6. Pas photo Terbaru Ukuran 3x4 (Background warna sesuai jurusan Biru = Nautika, Merah = Teknika/Diklat Fungsional, Hitam Putih = Diktram) Format jpg/jpeg/png *
7. Sertifikat AFF - Scan Asli *
8. Sertifikat BST MSC.560 - Scan Asli *
9. Sertifikat ERM - Scan Asli *
10. Sertifikat Kesehatan Pelaut (MCU) dari Rumah Sakit atau Lembaga Kesehatan yang mendapat pengakuan dari dokter yang ditunjuk Ditjen Hubla - Scan Asli *
11. Sertifikat Medical Care (MC) - Scan Asli *
12. Sertifikat Medical First Aid (MFA) - Scan Asli *
13. Sertifikat PSCRB - Scan Asli *
14. Sertifikat SSO - Scan Asli *
15. Surat Keputusan (SK) CPNS *
16. Surat Keputusan (SK) PNS *
17. Surat Pernyataan Peserta Diklat *
18. Surat izin mengikuti diklat dari Kepala Kantor *"
Apa saja persyaratan daftar PENINGKATAN DP III NAUTIKA (ANT DP III),"Persyaratan daftar PENINGKATAN DP III NAUTIKA (ANT DP III) meliputi: *

1. Akte Lahir / Surat Kenal Lahir - Scan Asli *
2. Ijasah COC & COE (Endors) ANT IV (Operasional min. 30 bulan/manajemen min. 12 bulan) *
3. KTP / Identitas Lainnya yg berlaku - Scan Asli *
4. Pas photo Terbaru Ukuran 3x4 (Background warna sesuai jurusan Biru = Nautika, Merah = Teknika/Diklat Fungsional, Hitam Putih = Diktram) Format jpg/jpeg/png *
5. SPPK DP-IV Pemuktahiran STCW 2010 / SPPK DP-IV Pembentukan STCW 2010 / SMK Pelayaran plus DP-IV / SPPK DP-IV Peningkatan STCW 2010 - Scan Asli *
6. Sertifikat AFF - Scan Asli *
7. Sertifikat Arpa Simulator (AS) - Scan Asli *
8. Sertifikat BRM - Scan Asli *
9. Sertifikat BST MSC.560 - Scan Asli *
10. Sertifikat GMDSS - Scan Asli *
11. Sertifikat Kesehatan / Medical Check Up (MCU) yg masih berlaku dari Rumah Sakit / Klinik yg ditunjuk / diapprove Ditkapel & dinyatakan sehat - (Diklat Peningkatan, Diklat Pemutakhiran dan GMDSS) Scan Asli *
12. Sertifikat Medical Care (MC) - Scan Asli *
13. Sertifikat Medical First Aid (MFA) - Scan Asli *
14. Sertifikat PSCRB - Scan Asli *
15. Sertifikat Radar Simulator (RS) - Scan Asli *
16. Sertifikat SSO - Scan Asli *
17. Surat Masa Layar dari Syahbandar + PNBP setelah memiliki ANT-IV STCW 2010 paling sedikit 30 (tiga puluh) bulan / Surat Masa Layar dari Syahbandar setelah memiliki ANT-IV Manajemen STCW 2010 paling sedikit 12 (dua belas) bulan - Scan Asli (Terbitan 6 Bulan Terakhir) *
18. Surat Pernyataan Peserta Diklat *"
Apa saja persyaratan daftar PENINGKATAN DP III TEKNIKA (ATT DP III),"Persyaratan daftar PENINGKATAN DP III TEKNIKA (ATT DP III) meliputi: *

1. Akte Lahir / Surat Kenal Lahir - Scan Asli *
2. Ijasah COC & COE (Endors) ATT IV (Operasional min. 30 bulan/manajemen min. 12 bulan) *
3. KTP / Identitas Lainnya yg berlaku - Scan Asli *
4. Pas photo Terbaru Ukuran 3x4 (Background warna sesuai jurusan Biru = Nautika, Merah = Teknika/Diklat Fungsional, Hitam Putih = Diktram) Format jpg/jpeg/png *
5. SPPK DP-IV Pemuktahiran STCW 2010 / SPPK DP-IV Pembentukan STCW 2010 / SMK Pelayaran plus DP-IV / SPPK DP-IV Peningkatan STCW 2010 - Scan Asli *
6. Sertifikat AFF - Scan Asli *
7. Sertifikat BST MSC.560 - Scan Asli *
8. Sertifikat ERM - Scan Asli *
9. Sertifikat Kesehatan / Medical Check Up (MCU) yg masih berlaku dari Rumah Sakit / Klinik yg ditunjuk / diapprove Ditkapel & dinyatakan sehat - (Diklat Peningkatan, Diklat Pemutakhiran dan GMDSS) Scan Asli *
10. Sertifikat Medical Care (MC) - Scan Asli *
11. Sertifikat Medical First Aid (MFA) - Scan Asli *
12. Sertifikat PSCRB - Scan Asli *
13. Sertifikat SAT - Scan Asli *
14. Sertifikat SSO - Scan Asli *
15. Surat Masa Layar dari Syahbandar + PNBP setelah memiliki ATT-IV STCW 2010 paling sedikit 30 (tiga puluh) bulan / Surat Masa Layar dari Syahbandar setelah memiliki ATT-IV Manajemen STCW 2010 paling sedikit 12 (dua belas) bulan - Scan Asli (Terbitan 6 Bulan Terakhir) *
16. Surat Pernyataan Peserta Diklat *"
Apa saja persyaratan daftar PENINGKATAN DP IV TEKNIKA (ATT DP IV),"Persyaratan daftar PENINGKATAN DP IV TEKNIKA (ATT DP IV) meliputi: *

1. Akte Lahir / Surat Kenal Lahir - Scan Asli *
2. Ijasah COC & COE (Endors) ATT V (Operasional min. 30 bulan/manajemen min. 12 bulan) / Surat Keterangan Lulus (SKL) UKP PRAPRALA *
3. KTP / Identitas Lainnya yg berlaku - Scan Asli *
4. Pas photo Terbaru Ukuran 3x4 (Background warna sesuai jurusan Biru = Nautika, Merah = Teknika/Diklat Fungsional, Hitam Putih = Diktram) Format jpg/jpeg/png *
5. SPPK DP-V Pemuktahiran STCW 2010 / SPPK Peningkatan DP-V STCW 2010 - Scan Asli *
6. Sertifikat AFF - Scan Asli *
7. Sertifikat BST MSC.560 - Scan Asli *
8. Sertifikat Kesehatan / Medical Check Up (MCU) yg masih berlaku dari Rumah Sakit / Klinik yg ditunjuk / diapprove Ditkapel & dinyatakan sehat - (Diklat Peningkatan, Diklat Pemutakhiran dan GMDSS) Scan Asli *
9. Sertifikat Medical First Aid (MFA) - Scan Asli *
10. Sertifikat PSCRB - Scan Asli *
11. Sertifikat SAT - Scan Asli *
12. Sertifikat SSO - Scan Asli *
13. Surat Masa Layar dari Syahbandar + PNBP setelah memiliki ATT-V STCW 2010 paling sedikit 30 (tiga puluh) bulan / Surat Masa Layar dari Syahbandar setelah memiliki ATT-V Manajemen STCW 2010 paling sedikit 12 (dua belas) bulan - Scan Asli (Terbitan 6 Bulan Terakhir) / Surat Keterangan Masa Layar Selama 12 Bulan Sebagai Cadet (Khusus Downgrade) *
14. Surat Pernyataan Peserta Diklat *"
Apa saja persyaratan PENINGKATAN DP V NAUTIKA (ANT DP V,"Persyaratan PENINGKATAN DP V NAUTIKA (ANT DP V) meliputi: *

1. Akte Lahir / Surat Kenal Lahir - Scan Asli *
2. KTP / Identitas Lainnya yg berlaku - Scan Asli *
3. Pas photo Terbaru Ukuran 3x4 (Background warna sesuai jurusan Biru = Nautika, Merah = Teknika/Diklat Fungsional, Hitam Putih = Diktram) Format jpg/jpeg/png *
4. Sertifikat AFF - Scan Asli *
5. Sertifikat Able Deck / Surat Keterangan Lulus (SKL) UKP PRALA *
6. Sertifikat BST MSC.560 - Scan Asli *
7. Sertifikat Kesehatan / Medical Check Up (MCU) yg masih berlaku dari Rumah Sakit / Klinik yg ditunjuk / diapprove Ditkapel & dinyatakan sehat - (Diklat Peningkatan, Diklat Pemutakhiran dan GMDSS) Scan Asli *
8. Sertifikat Medical First Aid (MFA) - Scan Asli *
9. Sertifikat Rating Forming Deck min. 2 tahun (24 bulan) *
10. Sertifikat SAT - Scan Asli *
11. Surat Masa Layar dari Syahbandar + PNBP tidak kurang dari 24 bulan sebagai Able Seafarer Deck di kapal dengan ukuran GT-500 atau lebih - Scan Asli (Terbitan 6 Bulan Terakhir) / Surat Keterangan Masa Layar Selama 12 Bulan Sebagai Cadet (Khusus Downgrade) *
12. Surat Pernyataan Peserta Diklat *"
Apa saja persyaratan PENINGKATAN DP V TEKNIKA (ATT DP V),"Persyaratan PENINGKATAN DP V TEKNIKA (ATT DP V) meliputi: *

1. Akte Lahir / Surat Kenal Lahir - Scan Asli *
2. KTP / Identitas Lainnya yg berlaku - Scan Asli *
3. Pas photo Terbaru Ukuran 3x4 (Background warna sesuai jurusan Biru = Nautika, Merah = Teknika/Diklat Fungsional, Hitam Putih = Diktram) Format jpg/jpeg/png *
4. Sertifikat AFF - Scan Asli *
5. Sertifikat Able Engine / Surat Keterangan Lulus (SKL) UKP PRAPRALA *
6. Sertifikat BST MSC.560 - Scan Asli *
7. Sertifikat Kesehatan / Medical Check Up (MCU) yg masih berlaku dari Rumah Sakit / Klinik yg ditunjuk / diapprove Ditkapel & dinyatakan sehat - (Diklat Peningkatan, Diklat Pemutakhiran dan GMDSS) Scan Asli *
8. Sertifikat Medical First Aid (MFA) - Scan Asli *
9. Sertifikat Rating Forming Engine min. 2 tahun (24 bulan) *
10. Sertifikat SAT - Scan Asli *
11. Surat Masa Layar dari Syahbandar + PNBP tidak kurang dari 24 bulan sebagai Able Seafarer Engine di Kapal dengan mesin penggerak utama 750 kW atau lebih - Scan Asli (Terbitan 6 Bulan Terakhir) / Surat Keterangan Masa Layar Selama 12 Bulan Sebagai Cadet (Khusus Downgrade) *
12. Surat Pernyataan Peserta Diklat *"
Apa saja persyaratan diklat internal audit Terminal Operator Management dan BUP (Tatap Muka- BP2TL),"Persyaratan diklat internal audit Terminal Operator Management dan BUP (Tatap Muka- BP2TL) meliputi: *

1. KTP / Identitas Lainnya yg berlaku - Scan Asli *
2. Minimal Ijazah D3 -Scan Asli *"
Apa saja persyaratan diklat Terminal Operator Management dan BUP daring/online,"Persyaratan diklat Terminal Operator Management dan BUP daring/online meliputi: *

1. KTP / Identitas Lainnya yg berlaku - Scan Asli *
2. Minimal Ijazah D3 -Scan Asli *"
Apa saja persyaratan diklat Port Basic Safety & Security Training (PBSST),"Persyaratan diklat Port Basic Safety & Security Training (PBSST) meliputi: *

1. Surat Keterangan Kerja dari Instansi Terkait *
2. Surat Keterangan Sehat dan Tidak Buta Warna dari Dokter Pemerintah atau Klinik *"
"Apa saja persyaratan diklat IMDG Code (Tanpa LSP, Pelaksanaan diluar BP2TL) ","Updating IMDG Code

Sertifikat IMDG Code (Bagi Terbitan Luar BP2TL Jakarta Wajib Melampirkan Surat Keabsahan BST dari Ditkapel) - Scan Asli"
"Apa saja persyaratan diklat IMSBC Code (Tanpa LSP, Pelaksanaan diluar BP2TL)","Updating IMSBC Code

1. Ijasah Minimal SLTA/sederajat - Scan Asli *
2. KTP / Identitas Lainnya yg berlaku - Scan Asli *
3. Pas photo Terbaru Ukuran 3x4 (Background warna Biru) Format jpg/jpeg/png *
4. Sertifikat IMSBC Code *
5. Surat Pernyataan Diklat Fungsional *
6. Surat Rekomendasi dari Instansi/Perusahaan Asal *"
Apa saja persyaratan diklat Sistem Informasi Angkutan Laut dan Kepelabuhanan,"Persyaratan diklat Sistem Informasi Angkutan Laut dan Kepelabuhanan meliputi: *

1. Akte Lahir / Surat Kenal Lahir - Scan Asli *
2. KTP / Identitas Lainnya yg berlaku - Scan Asli *
3. Minimal Ijazah D3 - Scan Asli *
4. Pas photo Terbaru Ukuran 3x4 (Background warna sesuai jurusan Biru = Nautika, Merah = Teknika/Diklat Fungsional, Hitam Putih = Diktram) Format jpg/jpeg/png *"
Apa saja persyaratan pandu tingkat I,"Persyaratan diklat Pandu Tingkat I meliputi: *

1. Ijasah Pelaut minimal ANT II - Scan Asli *
2. KTP / Identitas Lainnya yg berlaku - Scan Asli *
3. Pas photo Terbaru Ukuran 3x4 (Background warna Biru) Format jpg/jpeg/png *
4. Sertifikat Kesehatan (medical certificate) dari Rumah Sakit pemerintah yang ditunjuk oleh Direktur Jenderal *
5. Sertifikat Pandu Tingkat II - Scan Asli *
6. Surat Keterangan pengalaman memandu kapal selama 2 tahun dan paling sedikit telah memandu 200 kapal dan/atau total ukuran kapal GT 600.000 bagi pemegang ijasah pelaut ANT-II, dan berpengalaman memandu kapal paling sedikit 1 tahun dan paling sedikit telah memandu 100 kapal dan/atau total ukuran kapal GT 300.000 bagi pemegang ijasah pelaut ANT-I yang dikeluarkan dari Syahbandar dan catatan dalam buku saku pemanduan - Scan Asli *
7. Surat Pernyataan Diklat Fungsional *"
Apa saja persyaratan pandu tingkat II,"Persyaratan diklat Pandu Tingkat II meliputi: *

KTP / Identitas Lainnya yg berlaku (Usia paling rendah 30 (tiga puluh) tahun saat pendaftaran) - Scan Asli *"
Apa saja persyaratan diklat dasar dasar kesyahbandaran,"Persyaratan diklat Dasar-Dasar Kesyahbandaran meliputi: *

Ijasah Minimal SLTA/sederajat - Scan Asli *"
Apa saja persyaratan diklat dasar pengukuran kapal,"Persyaratan diklat dasar pengukuran kapal   :                                                                                                                              1. Ijazah Minimal S1 atau Diploma 4 *
2. Pas photo Terbaru Ukuran 3x4 (Background warna sesuai jurusan Biru = Nautika, Merah = Teknika/Diklat Fungsional, Hitam Putih = Diktram) Format jpg/jpeg/png *
3. Surat Keterangan Sehat dari Dokter Pemerintah dan Tidak Buta Warna *"
Apa saja persyaratan pandu endorsement tingkat I,"Persyaratan diklat Pandu Endorsement Tingkat I meliputi: *

Sertifikat Endorsment Pandu *"
Apa saja persyaratan pandu endorsement tingkat II,"Persyaratan diklat Pandu Endorsement Tingkat II meliputi: *

1. Bukti Perlindungan Asuransi *
2. Kartu identitas pandu *
3. Kontrak kerja atau surat keterangan penugasan pandu bagi pandu yang bekerja di badan usaha pelabuhan atau pengelola terminal khusus yang menerima pelimpahan *
4. Sertifikat Endorsment Pandu *
5. Sertifikat Kesehatan Pelaut (MCU) dari Rumah Sakit atau Lembaga Kesehatan yang mendapat pengakuan dari dokter yang ditunjuk Ditjen Hubla - Scan Asli *
6. Sertifikat Pandu Tingkat II - Scan Asli *
7. Surat Keterangan Kecakapan Pandu *
8. Surat Pernyataan Diklat Fungsional *
9. Surat keterangan mempunyai kondite yang baik selama penugasan dari pengawas pemanduan setempat berdasarkan buku saku *"
Apa saja persyaratan updating imdg code,"Persyaratan diklat Updating IMDG Code meliputi: *

Sertifikat IMDG Code (Bagi Terbitan Luar BP2TL Jakarta Wajib Melampirkan Surat Keabsahan BST dari Ditkapel) - Scan Asli *"
Apa saja persyaratan updating imsbc code,"Persyaratan diklat Updating IMSBC Code meliputi: *

1. Ijasah Minimal SLTA/sederajat - Scan Asli *
2. KTP / Identitas Lainnya yg berlaku - Scan Asli *
3. Pas photo Terbaru Ukuran 3x4 (Background warna Biru) Format jpg/jpeg/png *
4. Sertifikat IMSBC Code *
5. Surat Pernyataan Diklat Fungsional *
6. Surat Rekomendasi dari Instansi/Perusahaan Asal *"
Apa saja persyaratan diklat tot 609 hybrid/bleded,"Persyaratan diklat TOT 609 Hybrid/Blended meliputi: *

1. Ijazah Terakhir - Scan Asli *
2. KTP / Identitas Lainnya yg berlaku - Scan Asli *
3. Pas photo Terbaru Ukuran 3x4 (Background warna sesuai jurusan Biru = Nautika, Merah = Teknika/Diklat Fungsional, Hitam Putih = Diktram) Format jpg/jpeg/png *
4. Surat Pernyataan Diklat Fungsional *"
