question,answer
"Sore Bu
Mohon maaf di BP2TL bisa revalidasi BST lemdik lain tidak bu?
", untuk Revalidasi BST bisa keluaran Non BP2TL ya ka 😊
" min
Maaf min sy daftar no peserta dari kemarin kok belum di ACC ?

NIK: 3525152210000002
NAMA: BAMBANG ARI SAPUTRO
EMAIL: 085732188506","Mohon maaf atas ketidaknyamanannya, Pak/Bu. Proses validasi berkas memerlukan waktu maksimal 3x24 jam pada hari dan jam kerja. 

Saat ini terdapat banyak antrean berkas yang sedang diproses sehingga waktu validasi menyesuaikan dengan urutan antrean yang masuk. Mohon Bapak/Ibu dapat melakukan pengecekan secara berkala pada akun dan email untuk melihat status berkas.

Mohon dipastikan kembali bahwa seluruh dokumen yang diunggah sudah sesuai dengan ketentuan. Jika terdapat penolakan, silakan cek koreksi dari admin pada akun di bagian keterangan penolakan serta pada email, kemudian lakukan pembaruan dan unggah ulang dokumen yang diminta.

Jika sudah melewati waktu tersebut, Bapak/Ibu dapat menghubungi helpdesk melalui akun atau menghubungi admin di 0811-1707-1205.

Terima kasih telah setia menunggu. 😊
"
"Assalamualaikum kak, ijin nnya kak, masalah medical cek up kak, apa bisa pakai surat kesehatan dari unkes Pelindo Samarinda kak🙏🙏mohon pencerahan nya kak🙏🙏","sesuai dengan persyaratan untuk surat kesehatan harus dari lembaga kesehatan/klinik/RS yang terdaftar pada BKKP ya kak.. namun apabila di daerahnya tidak ada, silahkan dicoba upload saja surat kesehatan yang masih berlaku
yang menjadi catatan, jenis pemeriksaan harus standar pelaut ya kak ☺️. Terima kasih"
"Hallo min, izin bertanya. Jadwal MC kan dari tanggal 12 kok sampai detik ini belum ada daring nya yaa","Peserta nantinya akan diundang ke grup oleh penyelenggara diklat. Mohon ditunggu, biasanya undangan grup akan diberikan pada H-1 atau hari H pelaksanaan diklat.

Informasi terkait jadwal mulai, metode pembelajaran (online/offline), serta teknis pelaksanaan lainnya akan disampaikan melalui grup pembelajaran. Apabila sampai saat ini belum ada informasi lanjutan di grup, mohon menunggu pengumuman resmi dari penyelenggara melalui grup tersebut ya kak.

Jika sudah mendekati jadwal namun belum menerima undangan atau link grup, silakan konfirmasi kembali melalui helpdesk di akun pendaftaran anda atau hubungi admin diklat di nomor 0811-1707-1205 ya kak.

Terima kasih 🙏"
" min ijin nanya apakah ada jadwal ccm buat bulan desember?
November-desember?
"," untuk jadwal diklat silakan cek secara berkala di website 👉 diklat.bp2tl.ac.id, apabila belum tersedia atau masih kosong berarti jadwal belum dibuka, update juga diinformasikan melalui sosial media resmi BP2TL, dan untuk informasi lebih lanjut dapat menghubungi admin di +62 811-1707-1205 🙏"
", mau tanya, saya udh daftar online sudah 3hr tapi kok belum divalidasi datanya ya, mohon responya

=====

NAMA             : BAYU INDRA FAMBUDI
NIK                 : 3504131404880001
NO. PESERTA : 3575685798
EMAIL            : bayuindrafambudi@gmail.com","Mohon maaf atas ketidaknyamanannya, Pak/Bu. Proses validasi berkas memerlukan waktu maksimal 3x24 jam pada hari dan jam kerja. 

Saat ini terdapat banyak antrean berkas yang sedang diproses sehingga waktu validasi menyesuaikan dengan urutan antrean yang masuk. Mohon Bapak/Ibu dapat melakukan pengecekan secara berkala pada akun dan email untuk melihat status berkas.

Mohon dipastikan kembali bahwa seluruh dokumen yang diunggah sudah sesuai dengan ketentuan. Jika terdapat penolakan, silakan cek koreksi dari admin pada akun di bagian keterangan penolakan serta pada email, kemudian lakukan pembaruan dan unggah ulang dokumen yang diminta.

Jika sudah melewati waktu tersebut, Bapak/Ibu dapat menghubungi helpdesk melalui akun atau menghubungi admin di 0811-1707-1205.

Terima kasih telah setia menunggu. 😊
"
" bapak/ibu.
izin mau tanya saya mau refal bst gimana ya caranya, posisi saya di luar jakarta. trimakasi atas waktunya 🙏",untuk Revalidasi BST bisa didaftarkan secara daring ya kak melalui tautan diklat.bp2tl.ac.id dan bisa memilih metode online tapi tetap melampirkan sertifikat aslinya pada saat pendaftaran atau pengambilan
"izin bertanya admin
mau ganti tanggal lahir gimana ya?
terimakasih

=======

nomor peserta : 3264169105
nama lengkap: ARIFIN
email: ARIFINPELAUT1992@GMAIL.COM
tanggall lahir: bontoa, 15 september 1992
"," Mohon diinfomasikan Nomor Peserta, Nama Lengkap, Email dan Tanggal Lahir yang benarnya ke admin di nomor berikut ya 0811-1707-1205"
"Min untuk sdsd saya blm online, baru sadar setelah 2 tahun baru kemarin cek online tidaknya sertifikat sdsd saya. Untuk proses dan syaratnya apa aja min?
Kim Jong Ndut
","Sertifikat online biasanya terbit kurang lebih ±1 bulan setelah pembelajran ya kak. Jika sudah online, barulah sertifikat fisik bisa diambil 🙏

Untuk pengecekan sertifikat secara online, silakan kunjungi:
⛵http://pelaut.dephub.go.id

Langkah pengecekan:

1. Klik menu Verifikasi/Verification
2. Masukkan nomor sertifikat (10 digit kode pelaut + kode sertifikat + kode lembaga (53) + tahun terbit)
3. Untuk kolom pertama digunakan khusus pengecekan BST, selain itu bisa dikosongkan

Keterangan:
Kode lembaga: 53 (BP2TL Jakarta)

Apabila lebih dari waktu tersebut belum muncul, silakan hubungi helpdesk di akun peserta atau admin di 0811-1707-1205 ya kak 🙏😊
"
" bapak/ibu sya ashari mau tanya untuk info pendaftaran peningkatan, untuk kesehatan harus yg berlogo garuda ka pak/ibu?",tidak harus ya kak selama sesuai dengan ketentuan yaitu RS/Lembaga yang terdaftar di BKKP dan jenis pemeriksaannya sesuai dengan standar pelaut ya 
" pak,
Saya Suswanto, calon murid pelatihan BST
Mohon maaf, mau tanya, terkait pelatihan BST yg dilakukan hari ini, blm ada materi belajarnya ya pak.","Peserta nantinya akan diundang ke grup oleh penyelenggara diklat. Mohon ditunggu, biasanya undangan grup akan diberikan pada H-1 atau hari H pelaksanaan diklat.

Informasi terkait jadwal mulai, metode pembelajaran (online/offline), serta teknis pelaksanaan lainnya akan disampaikan melalui grup pembelajaran. Apabila sampai saat ini belum ada informasi lanjutan di grup, mohon menunggu pengumuman resmi dari penyelenggara melalui grup tersebut ya kak.

Jika sudah mendekati jadwal namun belum menerima undangan atau link grup, silakan konfirmasi kembali melalui helpdesk di akun pendaftaran anda atau hubungi admin diklat di nomor 0811-1707-1205 ya kak.

Terima kasih 🙏"
", izin bertanya apakah hari ini bp2tl buka?
Izin bertanya, untuk diklat radar simulator saya sudah membayar lunas tpi belum ada informasi diklat dan belum dimasuk an kedalam grup🙏🏻
","Peserta nantinya akan diundang ke grup oleh penyelenggara diklat. Mohon ditunggu, biasanya undangan grup akan diberikan pada H-1 atau hari H pelaksanaan diklat.

Informasi terkait jadwal mulai, metode pembelajaran (online/offline), serta teknis pelaksanaan lainnya akan disampaikan melalui grup pembelajaran. Apabila sampai saat ini belum ada informasi lanjutan di grup, mohon menunggu pengumuman resmi dari penyelenggara melalui grup tersebut ya kak.

Jika sudah mendekati jadwal namun belum menerima undangan atau link grup, silakan konfirmasi kembali melalui helpdesk di akun pendaftaran anda atau hubungi admin diklat di nomor 0811-1707-1205 ya kak.

Terima kasih 🙏"
Saya mau daftar perpanjangan endorsment namun kendala ijazah manajemensaya tidak ada,"SPPK atau STPKnya itu dokumen ijazah yang diberikan setelah lulus diklat peningkatannya ya kak, Silahkan ditanyakan ke kampus tempat melaksanakan diklat peningkatannya terlebih dahulu ya kak ☺️ seharusnya aja ijazahnya
"
" pak🙏
Nama peserta saya belum keluarSaya registrasi dari lini Gmail yg saya registrasikan nakibasasuki@gmail.com
KIRA2 kapan ya di verifikasi","Mohon maaf atas ketidaknyamanannya, Pak/Bu. Proses validasi berkas memerlukan waktu maksimal 3x24 jam pada hari dan jam kerja. 

Saat ini terdapat banyak antrean berkas yang sedang diproses sehingga waktu validasi menyesuaikan dengan urutan antrean yang masuk. Mohon Bapak/Ibu dapat melakukan pengecekan secara berkala pada akun dan email untuk melihat status berkas.

Mohon dipastikan kembali bahwa seluruh dokumen yang diunggah sudah sesuai dengan ketentuan. Jika terdapat penolakan, silakan cek koreksi dari admin pada akun di bagian keterangan penolakan serta pada email, kemudian lakukan pembaruan dan unggah ulang dokumen yang diminta.

Jika sudah melewati waktu tersebut, Bapak/Ibu dapat menghubungi helpdesk melalui akun atau menghubungi admin di 0811-1707-1205.

Terima kasih telah setia menunggu. 😊
"
"kak maaf ijin bertanya
bisa kah belum rating tapi langsung ambil able ?
karna saya masih awam jadi mohon maaf kak
"," tidak bisa kak, harus dari Rating ya kak ☺️🙏🏻"
"Sore kak, Sy udah bayar untuk diklat SSO Untuk tahap selanjutnya gimana ya kak ?","Peserta nantinya akan diundang ke grup oleh penyelenggara diklat. Mohon ditunggu, biasanya undangan grup akan diberikan pada H-1 atau hari H pelaksanaan diklat.

Informasi terkait jadwal mulai, metode pembelajaran (online/offline), serta teknis pelaksanaan lainnya akan disampaikan melalui grup pembelajaran. Apabila sampai saat ini belum ada informasi lanjutan di grup, mohon menunggu pengumuman resmi dari penyelenggara melalui grup tersebut ya kak.

Jika sudah mendekati jadwal namun belum menerima undangan atau link grup, silakan konfirmasi kembali melalui helpdesk di akun pendaftaran anda atau hubungi admin diklat di nomor 0811-1707-1205 ya kak.

Terima kasih 🙏"
", untuk surat peryataan tentang kepatuhan terhadap peraturan ngambilnya dmna untuk Diklat SDSD PASIS, soalnya sy daftar online sepaket sama ANT V nya"," bisa diunduh melalui tautan berikut ya kak 
https://drive.google.com/file/d/170UZkuvy7qKBRLtKNuZm-cfrTXDbC0Yh/view?usp=drivesdk
"
"
maaf mau tanya min untuk persyaratan update ant 4 management menggunakan gmdss  tdk ya?
===
jadi untuk ini saya bisa lampirkam mcu aja ya ka?
klo sudah daftar online dan pemberkasan secara online gaperlu datang ke kampus lg ya kaa ?"," kak, sesuai persyaratan tidak diperlukan GMDSS ya kak
=====
Benar kak point 10 yang dimaksud adalah Surat Kesehatan, dan tidak perlu ke kampus lagi untuk pemberkasan"
"Saya buka websitenya kok gak muncul2 ya
","Silakan coba beberapa langkah berikut ya:

Pastikan jaringan internet stabil
Refresh halaman atau coba buka ulang websitenya
Bersihkan cache browser
Pastikan memori HP/laptop cukup dan tidak bermasalah

Jika masih belum bisa, bisa coba gunakan browser/perangkat lain ya kak 🙏"
"Pagi min
Bulan 12 baru daftar bisa, Online ny berapa bulan bu","Di bulan 12 tidak ada pendaftarannya ya kak, namun ditunggu saja informasinya tidak menutup kemungkinan akan ada pembukaan pendaftaran "
"Pagi pak, Ada brousur biaya diklat pak Untuk scrb sso pak ?"," kak, untuk brosur lengkap kami dapat diunduh pada tautan berikut ya:
s.id/diklatpelautBP2TL"
"Pagi min, Diklat rating deck periode Agustus blm mulai ya Soalnya blm masukan ke grub nj
","Peserta nantinya akan diundang ke grup oleh penyelenggara diklat. Mohon ditunggu, biasanya undangan grup akan diberikan pada H-1 atau hari H pelaksanaan diklat.

Informasi terkait jadwal mulai, metode pembelajaran (online/offline), serta teknis pelaksanaan lainnya akan disampaikan melalui grup pembelajaran. Apabila sampai saat ini belum ada informasi lanjutan di grup, mohon menunggu pengumuman resmi dari penyelenggara melalui grup tersebut ya kak.

Jika sudah mendekati jadwal namun belum menerima undangan atau link grup, silakan konfirmasi kembali melalui helpdesk di akun pendaftaran anda atau hubungi admin diklat di nomor 0811-1707-1205 ya kak.

Terima kasih 🙏"
"Aku udh daftar cuma udh hari ke 5 ini blm di validasi masalayar sya, Kira2 itu kendalanya apa yah min","Mohon maaf atas ketidaknyamanannya, Pak/Bu. Proses validasi berkas memerlukan waktu maksimal 3x24 jam pada hari dan jam kerja. 

Saat ini terdapat banyak antrean berkas yang sedang diproses sehingga waktu validasi menyesuaikan dengan urutan antrean yang masuk. Mohon Bapak/Ibu dapat melakukan pengecekan secara berkala pada akun dan email untuk melihat status berkas.

Mohon dipastikan kembali bahwa seluruh dokumen yang diunggah sudah sesuai dengan ketentuan. Jika terdapat penolakan, silakan cek koreksi dari admin pada akun di bagian keterangan penolakan serta pada email, kemudian lakukan pembaruan dan unggah ulang dokumen yang diminta.

Jika sudah melewati waktu tersebut, Bapak/Ibu dapat menghubungi helpdesk melalui akun atau menghubungi admin di 0811-1707-1205.

Terima kasih telah setia menunggu. 😊
"
"Pagi min
Untuk group updating periode hari ini ada ngak ya min, untuk Updating ATT","Peserta nantinya akan diundang ke grup oleh penyelenggara diklat. Mohon ditunggu, biasanya undangan grup akan diberikan pada H-1 atau hari H pelaksanaan diklat.

Informasi terkait jadwal mulai, metode pembelajaran (online/offline), serta teknis pelaksanaan lainnya akan disampaikan melalui grup pembelajaran. Apabila sampai saat ini belum ada informasi lanjutan di grup, mohon menunggu pengumuman resmi dari penyelenggara melalui grup tersebut ya kak.

Jika sudah mendekati jadwal namun belum menerima undangan atau link grup, silakan konfirmasi kembali melalui helpdesk di akun pendaftaran anda atau hubungi admin diklat di nomor 0811-1707-1205 ya kak.

Terima kasih 🙏"
" min
Izin bertanaya, pembelajaran updating di mulai hari ini, dan saya belum masuk grub min, terimakasih","Peserta nantinya akan diundang ke grup oleh penyelenggara diklat. Mohon ditunggu, biasanya undangan grup akan diberikan pada H-1 atau hari H pelaksanaan diklat.

Informasi terkait jadwal mulai, metode pembelajaran (online/offline), serta teknis pelaksanaan lainnya akan disampaikan melalui grup pembelajaran. Apabila sampai saat ini belum ada informasi lanjutan di grup, mohon menunggu pengumuman resmi dari penyelenggara melalui grup tersebut ya kak.

Jika sudah mendekati jadwal namun belum menerima undangan atau link grup, silakan konfirmasi kembali melalui helpdesk di akun pendaftaran anda atau hubungi admin diklat di nomor 0811-1707-1205 ya kak.

Terima kasih 🙏"
"Pagi pak maaf menggu 
Ini saya permenas yandeday
Saya sudah selesai ambil able sudah ada fisiknya di kampus saya mau daftar 5 lagi 
Pak minta tolong  bisa foto kan able saya 
Saya chat ibu resti atmin grup able itu ngk bls baru ibunya sudah keluar dari grup",Berkaitan dengan hal tersebut bisa langsung menghubungi admin kami di nomor berikut ya  0811-1707-1205
Data gagal tersimpan saat pendaftaran ,"Silakan coba beberapa langkah berikut ya:

Pastikan jaringan internet stabil
Refresh halaman atau coba buka ulang websitenya
Bersihkan cache browser
Pastikan memori HP/laptop cukup dan tidak bermasalah
Pastikan dokumen tidak lebih dari 500kb
Jika masih belum bisa, bisa coba gunakan browser/perangkat lain ya kak 🙏"
" Bu,.
Mau tnya untuk Diklat updating IV ko nomor saya belum masuk ke grup ya bu","Peserta nantinya akan diundang ke grup oleh penyelenggara diklat. Mohon ditunggu, biasanya undangan grup akan diberikan pada H-1 atau hari H pelaksanaan diklat.

Informasi terkait jadwal mulai, metode pembelajaran (online/offline), serta teknis pelaksanaan lainnya akan disampaikan melalui grup pembelajaran. Apabila sampai saat ini belum ada informasi lanjutan di grup, mohon menunggu pengumuman resmi dari penyelenggara melalui grup tersebut ya kak.

Jika sudah mendekati jadwal namun belum menerima undangan atau link grup, silakan konfirmasi kembali melalui helpdesk di akun pendaftaran anda atau hubungi admin diklat di nomor 0811-1707-1205 ya kak.

Terima kasih 🙏"
" kak, Mau tanya untuk peningkatan diklat ANTV persyaratan nya apa saja ya?
Dan jika daftar online caranya bagaimana kak?","Alur pendaftaran peserta bisa kunjungi https://diklat.bp2tl.ac.id/login.php:
1. Peserta registrasi KTP
2. Validasi KTP oleh admin
3. Unggah berkas oleh peserta 
4. Validasi berkas oleh admin
5. Apabila berkas sudah tervalidasi semua, kembali ke menu halaman unggah berkas, maka tampilan akan berubah menjadi pilihan jadwal periode pembelajaran 
6. Pilih jadwal, klik daftar
7. Tunggu virtual account (VA) yang diterima di email (±5menit)
8. Lalukan pembayaran, Bank BNI, masukan nomor VA, pastikan nama yang muncul adalah nama peserta, pastikan nominal pembayaran sesuai (tidak kurang/lebih)
9. Apabila pembayaran berhasil akan ada email balasan dengan tulisan ""Pembayaran telah berhasil dilakukan"". 
Atau, 
peserta dipersilahkan cek kartu peserta sesuai diklat yang diambil, dengan mengikuti langkah berikut :
1. Dashboard 
2. Klik Diklat saya
3. Klik Diklat cetak (warna hijau)

Berikut persyaratan scan diklat peningkatan ANTV ya 

Akte Lahir / Surat Kenal Lahir - Scan Asli
KTP / Identitas Lainnya yang berlaku - Scan Asli *
Pas foto terbaru ukuran 3x4 (background sesuai jurusan)
Sertifikat AFF - Scan Asli
Sertifikat Able Deck / Surat Keterangan Lulus (SKL) UKP PRALA *
Sertifikat BST MSC.560 - Scan Asli *
Sertifikat Kesehatan / Medical Check Up (MCU) yang masih berlaku
Sertifikat Medical First Aid (MFA) - Scan Asli
Sertifikat Rating Forming Deck minimal 2 tahun (24 bulan) *
Sertifikat SAT - Scan Asli
Surat Masa Layar dari Syahbandar + PNBP tidak kurang dari 24 bulan sebagai Able Seafarer Deck di kapal dengan ukuran GT-500 atau lebih - Scan Asli (Terbitan 6 Bulan Terakhir) / Surat Keterangan Masa Layar selama 12 bulan sebagai cadet (khusus downgrade)
Surat Pernyataan Peserta Diklat *

Tanda (*) menandakan berkas wajib ya kak 🙏😊"
"Pagi min, Min SCRB (pasis 18) itu kapan ya? Saya sudah daftar dari agustus kok masih belum dapat jadwal kelas ya??","Peserta nantinya akan diundang ke grup oleh penyelenggara diklat. Mohon ditunggu, biasanya undangan grup akan diberikan pada H-1 atau hari H pelaksanaan diklat.

Informasi terkait jadwal mulai, metode pembelajaran (online/offline), serta teknis pelaksanaan lainnya akan disampaikan melalui grup pembelajaran. Apabila sampai saat ini belum ada informasi lanjutan di grup, mohon menunggu pengumuman resmi dari penyelenggara melalui grup tersebut ya kak.

Jika sudah mendekati jadwal namun belum menerima undangan atau link grup, silakan konfirmasi kembali melalui helpdesk di akun pendaftaran anda atau hubungi admin diklat di nomor 0811-1707-1205 ya kak.

Terima kasih 🙏"
", 
Saya daftar updating ANT 4 management udah 2 hari ARPA simulatornya masih proses validasi terus , belum dapat kode billing pembayaran MCU sudah valid tinggal itu aja pak, terimakasih","Mohon maaf atas ketidaknyamanannya, Pak/Bu. Proses validasi berkas memerlukan waktu maksimal 3x24 jam pada hari dan jam kerja. 

Saat ini terdapat banyak antrean berkas yang sedang diproses sehingga waktu validasi menyesuaikan dengan urutan antrean yang masuk. Mohon Bapak/Ibu dapat melakukan pengecekan secara berkala pada akun dan email untuk melihat status berkas.

Mohon dipastikan kembali bahwa seluruh dokumen yang diunggah sudah sesuai dengan ketentuan. Jika terdapat penolakan, silakan cek koreksi dari admin pada akun di bagian keterangan penolakan serta pada email, kemudian lakukan pembaruan dan unggah ulang dokumen yang diminta.

Jika sudah melewati waktu tersebut, Bapak/Ibu dapat menghubungi helpdesk melalui akun atau menghubungi admin di 0811-1707-1205.

Terima kasih telah setia menunggu. 😊
"
"- , Apakah bp2tl masih pembelajaran online untuk diklatnya?
- Sat dan ccm 🙏", Untuk SAT dan CCM benar dilaksanakan secara daring ya kak
"Asalamualaikum kak,, kalau mau ambil able sepaket sama ANT 5 harus duduk dulu ablenya atau atau udah sekalian sekolah nya kak? 🙏"," ablenya akan dilaksanakan secara tatap muka saat sudah memasuki jadwal tatap muka pada DP Vnya ya kak.

Pendaftaran bisa dilakukan secara daring, dan persyaratannya berupa soft file yang diunggah saat daftar di website ya kak"
"- Saya mau daftar diklat mc kenapa tidak bisa ya? Saat unggah data, cuma loading.

- Tp barusan sudah bisa-","mohon dicoba kembali, kemungkinan ukuran berkas melebihi batas persyaratan atau bisa juga penyimpanan storage bapak (hp/gmail) sudah mulai penuh, dsb, sehingga terkendala. Solusinya dapat dicoba terlebih dahulu menggunakan PC/Komputer/Laptop/gadget lainnya seperti HP lain serta mengurangiukuran dokumen dibawah 500kb. Terima kasih"
"
Maaf pak mau nanya untuk diklat updating ATT3 Management dilakukan secara online apa langsung ya pak,dan hasilnya keluar biasanya berapa minggu/bulan ya pak,saya mohon minta informasinya pak,terimakasih.","untuk Updating dilaksanakan secara hybrid ya kak, dan untuk sertifikat fisiknya 1-2 bulan dari tanggal berakhirnya diklat ya kak"
"Min, sampai sekarang belum masuk grup diklat","Peserta nantinya akan diundang ke grup oleh penyelenggara diklat. Mohon ditunggu, biasanya undangan grup akan diberikan pada H-1 atau hari H pelaksanaan diklat.

Informasi terkait jadwal mulai, metode pembelajaran (online/offline), serta teknis pelaksanaan lainnya akan disampaikan melalui grup pembelajaran. Apabila sampai saat ini belum ada informasi lanjutan di grup, mohon menunggu pengumuman resmi dari penyelenggara melalui grup tersebut ya kak.

Jika sudah mendekati jadwal namun belum menerima undangan atau link grup, silakan konfirmasi kembali melalui helpdesk di akun pendaftaran anda atau hubungi admin diklat di nomor 0811-1707-1205 ya kak.

Terima kasih 🙏"
"..
Mohon info diklat barang berbahaya sudah ada daftar nama2??
Tanggal berapa mulainya🙏🙏

NASIR PAMATAN
UPP ORANSBARI
NIP 197812052010121002","Peserta nantinya akan diundang ke grup oleh penyelenggara diklat. Mohon ditunggu, biasanya undangan grup akan diberikan pada H-1 atau hari H pelaksanaan diklat.

Informasi terkait jadwal mulai, metode pembelajaran (online/offline), serta teknis pelaksanaan lainnya akan disampaikan melalui grup pembelajaran. Apabila sampai saat ini belum ada informasi lanjutan di grup, mohon menunggu pengumuman resmi dari penyelenggara melalui grup tersebut ya kak.

Jika sudah mendekati jadwal namun belum menerima undangan atau link grup, silakan konfirmasi kembali melalui helpdesk di akun pendaftaran anda atau hubungi admin diklat di nomor 0811-1707-1205 ya kak.

Terima kasih 🙏"
" pak. 
Untuk leo Berto pardede
Diklat able engine 
Belum online pak.
Padahal yg kawan lainnya udh pada online","Sertifikat online biasanya terbit kurang lebih ±1 bulan setelah pembelajran ya kak. Jika sudah online, barulah sertifikat fisik bisa diambil 🙏

Untuk pengecekan sertifikat secara online, silakan kunjungi:
⛵http://pelaut.dephub.go.id

Langkah pengecekan:

1. Klik menu Verifikasi/Verification
2. Masukkan nomor sertifikat (10 digit kode pelaut + kode sertifikat + kode lembaga (53) + tahun terbit)
3. Untuk kolom pertama digunakan khusus pengecekan BST, selain itu bisa dikosongkan

Keterangan:
Kode lembaga: 53 (BP2TL Jakarta)

Apabila lebih dari waktu tersebut belum muncul, silakan hubungi helpdesk di akun peserta atau admin di 0811-1707-1205 ya kak 🙏😊
"
"Assmmlkm 

Saya mau menanyakan untuk pandu mandiri di bulan berapa ya","Untuk detail jadwal Pandu kami masih menunggu konfirmasi dari penyelenggara diklat, namun pendaftaran sudah dapat dilakukan ya kak. Untuk informasi lebih lanjut, dapat langsung menghubungi penyelenggara diklat fungsional di nomor +62 877-8484-5184  🙏"
Min mau tanya ini pendaftaran online mau ambil sertifikat tutorial videonya mana ya,"untuk tutorial bisa lihat video berikut ya 
https://www.instagram.com/reel/C0jK77IRK17/?utm_source=ig_web_copy_link&igsh=NTYzOWQzNmJjMA==

Atau bisa juga juga diunduh buku petunjuknya pada tautan:
https://diklat.bp2tl.ac.id/manual_book_peserta.pdf

Demikian kami informasikan, terima kasih"
sya salah ambil Sat pasis gmna tu min,Berkaitan dengan hal tersebut silahkan hubungi admin di nomor  0811-1707-1205
Mba mas mau nanya saya revalidasi bst dan aff dri bulan 11 smpe skrng kok blm online2 itu knp ya,"Sertifikat online biasanya terbit kurang lebih ±1 bulan setelah pembelajran ya kak. Jika sudah online, barulah sertifikat fisik bisa diambil 🙏

Untuk pengecekan sertifikat secara online, silakan kunjungi:
⛵http://pelaut.dephub.go.id

Langkah pengecekan:

1. Klik menu Verifikasi/Verification
2. Masukkan nomor sertifikat (10 digit kode pelaut + kode sertifikat + kode lembaga (53) + tahun terbit)
3. Untuk kolom pertama digunakan khusus pengecekan BST, selain itu bisa dikosongkan

Keterangan:
Kode lembaga: 53 (BP2TL Jakarta)

Apabila lebih dari waktu tersebut belum muncul, silakan hubungi admin di 0811-1707-1205 ya kak 🙏😊
"
"Min, maaf mengganggu.. saya rencananya mau ambil peningkatan ATT V, untuk periode bulan Mei s/d Agustus, tpi posisi saya masih berlayar mohon solusinya min untuk kelengkapan administrasi masa layar sudah cukup tpi posisi saya di kapal, jadi gimana min solusinya"," tidak jadi masalah ya karena kini pendaftaran dapat dilakukan secara online cukup upload berkas-berkas persyaratannya saja, smentara untuk MCU bisa menggunakan MCU yang ada dan masih berlaku. Pendaftaran nantinya dilakukan pada tautan s.id/diklatpelautBP2TL . Segera akan kami umumkan apabila sudah dibuka kembali.

Terima kasih atas anstusiasnya."
"Mohon petunjuk nya admin,sy mau daftar updating ijasah ant 4,sy udah coba via online,tapi gak bisa2,mohon sarannya 🙏","Alur pendaftaran peserta bisa kunjungi https://diklat.bp2tl.ac.id/login.php:
1. Peserta registrasi KTP
2. Validasi KTP oleh admin
3. Unggah berkas oleh peserta 
4. Validasi berkas oleh admin
5. Apabila berkas sudah tervalidasi semua, kembali ke menu halaman unggah berkas, maka tampilan akan berubah menjadi pilihan jadwal periode pembelajaran 
6. Pilih jadwal, klik daftar
7. Tunggu virtual account (VA) yang diterima di email (±5menit)
8. Lalukan pembayaran, Bank BNI, masukan nomor VA, pastikan nama yang muncul adalah nama peserta, pastikan nominal pembayaran sesuai (tidak kurang/lebih)
9. Apabila pembayaran berhasil akan ada email balasan dengan tulisan ""Pembayaran telah berhasil dilakukan"". 
Atau, 
peserta dipersilahkan cek kartu peserta sesuai diklat yang diambil, dengan mengikuti langkah berikut :
1. Dashboard 
2. Klik Diklat saya
3. Klik Diklat cetak (warna hijau)

Selamat, anda berhasil terdaftar menjadi peserta Diklat di BP2TL!! 😎"
"
Bapak/ ibuk
Saya robi candra. Mohon informasi untuk revalidasi BST.ENDONS IJZAH ANT 5 MANEJEMEN. Keluaran BP2TL
berapa biaya nya.? Posisi saya sedang onboar
Mohon informasinya🙏🙏 Apakah ada nomor HP/WA yang bisa  saya hubungi
Atas perhatian dan kerja samanya saya ucapkan terimakasih🙏🙏
","Revalidasi BST dari tempat diklat lain bisa dilakukan di BP2TL.

Berikut informasinya:
⚓️ BST MSC.560 (108)
⚓️ UPDATING (BST masih aktif)

Alumni BP2TL: Rp125.000
Non BP2TL: Rp140.000

⚓️ REVALIDASI (BST kurang dari 5 tahun)

Alumni BP2TL: Rp250.000
Non BP2TL: Rp300.000

Untuk BST terbitan BP2TL maupun Non BP2TL, terdapat 2 teknis pelaksanaan diklat:

Online (melampirkan PKL masih aktif dan surat rekomendasi dari perusahaan/instansi)
Offline (bagi pelaut yang sedang off, pembelajaran tetap dilaksanakan online sesuai jadwal terlampir)

Waktu tatap muka:

Updating: 1 hari (4 jam pembelajaran)
Revalidasi: 1 hari (6 jam pembelajaran)

Pendaftaran dapat dilakukan melalui laman:
diklat.bp2tl.ac.id (menu REVALIDASI)

Terima kasih, semoga informasinya membantu ⚓️"
"Assalamualaikum, admin dokumen saya diklat rating pembentukan online ada yang belum di validasi","Mohon maaf atas ketidaknyamanannya, Pak/Bu. Proses validasi berkas memerlukan waktu maksimal 3x24 jam pada hari dan jam kerja. 

Saat ini terdapat banyak antrean berkas yang sedang diproses sehingga waktu validasi menyesuaikan dengan urutan antrean yang masuk. Mohon Bapak/Ibu dapat melakukan pengecekan secara berkala pada akun dan email untuk melihat status berkas.

Mohon dipastikan kembali bahwa seluruh dokumen yang diunggah sudah sesuai dengan ketentuan. Jika terdapat penolakan, silakan cek koreksi dari admin pada akun di bagian keterangan penolakan serta pada email, kemudian lakukan pembaruan dan unggah ulang dokumen yang diminta.

Jika sudah melewati waktu tersebut, Bapak/Ibu dapat menghubungi helpdesk melalui akun atau menghubungi admin di 0811-1707-1205.

Terima kasih telah setia menunggu. 😊
"
